x,y,id,ig_date,last_date
2226912.8,4719072.0,764144,2001-07-20 00:00:00,2001-07-20 00:00:00
2227376.0,4719072.0,764145,2010-10-25 00:00:00,2010-10-25 00:00:00
2229692.5,4719072.0,764146,2011-11-03 00:00:00,2011-11-04 00:00:00
2230619.2,4719072.0,764147,2004-07-03 00:00:00,2004-07-03 00:00:00
2227376.0,4718608.5,764148,2001-07-04 00:00:00,2001-07-04 00:00:00
2228302.5,4718608.5,764149,2006-08-16 00:00:00,2006-08-16 00:00:00
2233399.0,4718608.5,764150,2010-10-16 00:00:00,2010-10-20 00:00:00
2240348.8,4718608.5,764151,2007-08-07 00:00:00,2007-08-07 00:00:00
2241275.2,4718608.5,764152,2007-08-16 00:00:00,2007-08-16 00:00:00
2227839.2,4717682.0,764153,2010-10-15 00:00:00,2010-10-29 00:00:00
2228766.0,4717682.0,764154,2001-07-04 00:00:00,2001-07-11 00:00:00
2230155.8,4718145.0,764155,2001-08-08 00:00:00,2001-08-08 00:00:00
2231545.8,4718145.0,764156,2010-10-16 00:00:00,2010-10-23 00:00:00
2232009.0,4718145.0,764157,2011-11-02 00:00:00,2011-11-05 00:00:00
2231545.8,4718145.0,764158,2001-07-11 00:00:00,2001-07-11 00:00:00
2234325.8,4718145.0,764159,2001-07-04 00:00:00,2001-07-08 00:00:00
2234789.0,4718145.0,764160,2010-10-10 00:00:00,2010-10-10 00:00:00
2241738.8,4715828.5,764161,2001-07-04 00:00:00,2001-07-11 00:00:00
2231082.5,4717682.0,764162,2004-06-26 00:00:00,2004-06-26 00:00:00
2230155.8,4717218.5,764163,2010-10-29 00:00:00,2010-11-02 00:00:00
2234325.8,4717218.5,764164,2022-11-10 00:00:00,2022-11-16 00:00:00
2235252.2,4717218.5,764165,2010-10-02 00:00:00,2010-10-02 00:00:00
2235715.5,4717218.5,764166,2010-10-20 00:00:00,2010-10-20 00:00:00
2228302.5,4716755.5,764167,2001-08-03 00:00:00,2001-08-08 00:00:00
2228302.5,4716755.5,764168,2004-09-03 00:00:00,2004-09-05 00:00:00
2231545.8,4716292.0,764169,2002-08-02 00:00:00,2002-08-02 00:00:00
2227839.2,4716292.0,764170,2001-07-04 00:00:00,2001-07-04 00:00:00
2236179.0,4716292.0,764171,2010-11-08 00:00:00,2010-11-11 00:00:00
2235252.2,4716755.5,764172,2022-11-19 00:00:00,2022-11-19 00:00:00
2235715.5,4716755.5,764173,2001-07-12 00:00:00,2001-07-12 00:00:00
2236179.0,4716755.5,764174,2001-07-04 00:00:00,2001-07-04 00:00:00
2236642.2,4716755.5,764175,2001-07-11 00:00:00,2001-07-11 00:00:00
2240812.0,4716755.5,764176,2001-07-26 00:00:00,2001-07-26 00:00:00
2242665.2,4716755.5,764177,2001-07-11 00:00:00,2001-07-11 00:00:00
2240812.0,4715828.5,764178,2001-07-11 00:00:00,2001-07-11 00:00:00
2231545.8,4714438.5,764179,2001-07-04 00:00:00,2001-07-08 00:00:00
2235252.2,4715828.5,764180,2010-10-31 00:00:00,2010-10-31 00:00:00
2237105.5,4715828.5,764181,2001-07-05 00:00:00,2001-07-05 00:00:00
2225059.5,4715365.5,764182,2004-10-21 00:00:00,2004-10-21 00:00:00
2226449.2,4715365.5,764183,2001-07-05 00:00:00,2001-07-07 00:00:00
2229692.5,4715365.5,764184,2001-07-05 00:00:00,2001-07-05 00:00:00
2226449.2,4714902.0,764185,2010-10-20 00:00:00,2010-10-25 00:00:00
2234789.0,4714438.5,764186,2001-07-04 00:00:00,2001-07-08 00:00:00
2229692.5,4713512.0,764187,2001-07-04 00:00:00,2001-07-08 00:00:00
2238495.5,4710732.0,764188,2001-07-04 00:00:00,2001-07-11 00:00:00
2232935.8,4713975.5,764190,2001-07-08 00:00:00,2001-07-08 00:00:00
2235252.2,4713975.5,764191,2016-07-23 00:00:00,2016-07-23 00:00:00
2236642.2,4713975.5,764192,2001-07-06 00:00:00,2001-07-06 00:00:00
2237568.8,4713512.0,764193,2001-07-30 00:00:00,2001-07-31 00:00:00
2250541.5,4713512.0,764194,2001-08-05 00:00:00,2001-08-05 00:00:00
2251005.0,4713512.0,764195,2007-07-16 00:00:00,2007-07-16 00:00:00
2226449.2,4713049.0,764196,2004-08-30 00:00:00,2004-08-30 00:00:00
2229229.2,4713049.0,764197,2024-06-09 00:00:00,2024-06-09 00:00:00
2229229.2,4712585.5,764198,2024-06-15 00:00:00,2024-06-16 00:00:00
2225522.8,4712585.5,764199,2004-09-06 00:00:00,2004-09-06 00:00:00
2236179.0,4713049.0,764200,2001-07-05 00:00:00,2001-07-10 00:00:00
2255638.0,4712122.0,764201,2007-06-30 00:00:00,2007-07-04 00:00:00
2257028.0,4712585.5,764202,2007-06-12 00:00:00,2007-06-12 00:00:00
2230155.8,4712585.5,764203,2024-07-13 00:00:00,2024-07-13 00:00:00
2234789.0,4712585.5,764204,2001-07-05 00:00:00,2001-07-05 00:00:00
